sample_id,symbol,timeframe,candle_ts,setup_type,side,ema_alignment,rsi,stoch_rsi,macd_hist,volume_ratio,volume_trend,atr_pct,market_structure,distance_support,distance_resistance,change_pct,position_in_period_range,ema9,price_vs_ema9,ema21,price_vs_ema21,ema50,price_vs_ema50,ema200,price_vs_ema200,ema50_vs_ema200,macd_line,macd_signal,macd_cross,bb_width_pct,bb_position,obv_trend,candle_type,engulfing,last_3_candles,result_r
BTCUSDT_minute15_1773051300_trend_pullback,BTCUSDT,minute15,1773051300,trend_pullback,LONG,1.0,55.336583543432795,22.69267636648589,,0.5920858669630734,1.0,0.004706427186252278,HH_HL (uptrend),0.24351368104135307,0.41382567372117557,-0.212658168194341,20.869556095782816,67833.5715916586,-0.11140736052279157,67624.9927519313,0.1966835672080652,67314.68461883116,0.6585715786668371,67509.46115360477,0.3681540959566002,-1.0,234.8396471543674,,0,1.761727253501315,58.72529813395767,-1,marubozu_bear,,bear → bear → bear,2.0
BTCUSDT_minute15_1770521400_trend_pullback,BTCUSDT,minute15,1770521400,trend_pullback,LONG,1.0,48.776792811196366,60.09257338806937,,0.6499183380280044,0.0,0.003989448310250729,HH_HL (uptrend),0.16756467852138615,0.3030609444292009,-0.10980749778870759,24.72195341982214,69272.205920332,-0.06525838138312652,69267.91301534715,-0.05906488815114725,69233.53743304328,-0.009442581277325031,69187.29961706283,0.05738102680246399,1.0,6.779384417866822,,0,0.8070141748451302,50.8153804294628,-1,bear,,bear → bull → bear,2.0
BTCUSDT_minute15_1773052200_trend_pullback,BTCUSDT,minute15,1773052200,trend_pullback,LONG,1.0,52.45496701207533,6.275807916824361,,0.7138596008625409,1.0,0.004659786782214854,HH_HL (uptrend),0.07273565910037978,0.5857290271457716,-0.17090232887629933,20.565874945256084,67795.29727332688,-0.22582285126599827,67626.55704721028,0.023131375413348622,67327.52835926916,0.46737441340740926,67510.78193814601,0.19466233108422518,-1.0,206.28084790463618,,0,1.731966192648373,50.062738614476054,-1,bear,,bear → bear → bear,2.0
BTCUSDT_minute15_1773053100_trend_pullback,BTCUSDT,minute15,1773053100,trend_pullback,LONG,1.0,50.711301902687445,0.0,,0.614969968427531,-1.0,0.004491428494514082,HH_HL (uptrend),0.7457319094525392,0.03226226558060669,-0.10496406089689572,20.379680112031583,67750.47781866151,-0.2646148402692692,67621.52458837298,-0.07442096089864884,67337.08410988605,0.34767749926904074,67511.38311289084,0.08860266869238594,-1.0,175.8911237300199,,0,1.7061177019333698,45.2031934676981,-1,bear,,bear → bear → bear,2.0
BTCUSDT_minute15_1775560500_rsi_divergence,BTCUSDT,minute15,1775560500,rsi_divergence,LONG,-1.0,37.80607550158489,16.67126923195847,,0.9136597720913606,1.0,0.003117633467681552,HH_HL (uptrend),0.13901713422762813,0.09321464684527926,0.0404044544446968,22.38769960217243,68549.74770891045,-0.31050108282570565,68657.25066504153,-0.46659407701079225,68781.98543514297,-0.6470959399138901,68600.87493864486,-0.3847982097618448,1.0,-81.08720432703558,,0,1.5673899666445013,17.176268100443853,1,bull,,bear → bull → bull,2.0
BTCUSDT_minute15_1773054000_trend_pullback,BTCUSDT,minute15,1773054000,trend_pullback,LONG,1.0,52.92122727314423,10.852697459811644,,0.6001918542875411,-1.0,0.004387084231746842,HH_HL (uptrend),0.10537314359271123,0.5528764799162798,0.13778059291533348,20.623831365175278,67733.24225492921,-0.10178496205707545,67625.41326215725,0.0575031426307214,67349.9161055768,0.46679181297029915,67512.9046739566,0.22424650039062502,-1.0,157.50383414899989,,0,1.7055332185243286,52.91469940596618,-1,bull,,bear → bear → bull,2.0
BTCUSDT_minute15_1773054900_trend_pullback,BTCUSDT,minute15,1773054900,trend_pullback,LONG,1.0,47.39099230849505,0.0,,1.0428267529094204,-1.0,0.004499958572871613,HH_HL (uptrend),0.5516071489472755,0.22790865266987806,-0.33252394541878066,20.033777316224395,67674.45380394337,-0.3474779488056437,67608.49387468841,-0.2502553525330864,67353.4213563385,0.12750450078423928,67512.1722891411,-0.10793948212628121,-1.0,123.35420460089517,,0,1.7105507928826702,33.575425378251474,-1,bear,bearish_engulfing,bear → bull → bear,2.0
BTCUSDT_minute15_1773055800_trend_pullback,BTCUSDT,minute15,1773055800,trend_pullback,LONG,1.0,51.304953402347834,16.52630268027223,,0.38260607153122766,-1.0,0.004394719706662074,HH_HL (uptrend),0.010355029585798817,0.648520710059163,0.23828835708555263,20.455207030297306,67659.56304315469,-0.08803344342720368,67607.72170426219,-0.011421334823216741,67363.09110707033,0.35168946233942167,67513.04619671185,0.12879555609859109,-1.0,108.01242413329601,,0,1.6611925487977797,46.17551280731532,-1,marubozu_bull,,bull → bear → bull,2.0
BTCUSDT_minute15_1773056700_trend_pullback,BTCUSDT,minute15,1773056700,trend_pullback,LONG,1.0,54.12504936739169,28.43387109706808,,0.6875989818037617,-1.0,0.004381990159342329,HH_HL (uptrend),0.19240054752205357,0.4652756141534616,0.1823964497041463,20.778556649122397,67672.31043452375,0.0753477532373986,67618.22882205654,0.15538883489534813,67377.21694600875,0.5136499690519761,67515.1382743565,0.30831859485735813,-1.0,104.59749728109455,,0,1.5650193370928673,55.25489891691354,1,bull,,bear → bull → bull,2.0
BTCUSDT_minute15_1775565000_rsi_divergence,BTCUSDT,minute15,1775565000,rsi_divergence,LONG,-1.0,39.606198655813635,21.728773471077044,,0.553531532673825,-1.0,0.003212615152871642,HH_HL (uptrend),0.3814418648919736,0.1568231237233497,-0.15117644220716756,22.273884732285918,68395.99524925578,-0.14985562953248185,68530.35398106283,-0.3456190830829191,68698.82031936843,-0.5899960399380515,68587.3562441273,-0.42844083839790265,1.0,-123.49292605377559,,0,1.828516480059175,23.01565779044204,-1,bear,,bear → bull → bear,2.0
BTCUSDT_minute15_1773057600_trend_pullback,BTCUSDT,minute15,1773057600,trend_pullback,LONG,1.0,57.340230751166715,42.009647515412105,,0.6181998913949758,-1.0,0.0042428594834463765,HH_HL (uptrend),0.41150808208945755,0.24472428369156674,0.22001290545499108,21.169303552649872,67712.30834761901,0.23628149192556816,67641.32620186958,0.34146846476826853,67396.6319677339,0.7057741883805462,67518.69212237287,0.5237184941115894,-1.0,112.61603040508635,,0,1.4165359522749221,67.57315272300836,1,marubozu_bull,,bull → bull → bull,2.0
BTCUSDT_minute15_1778035500_trend_pullback,BTCUSDT,minute15,1778035500,trend_pullback,LONG,1.0,53.94817387324161,86.5595441954147,,0.3703801381197155,-1.0,0.0028218739318023266,HH_HL (uptrend),0.11202725053647135,0.20966680808416185,0.19417978139990047,56.43408047288242,81193.70554979602,0.15493128359171368,81185.94061804924,0.16451048165976434,81183.19934481026,0.16789268751386638,80449.41402076514,1.081531779722202,1.0,-12.861512175077223,,0,0.8996997798007661,78.93392043831943,1,marubozu_bull,,bear → bull → bull,2.0
BTCUSDT_minute15_1770531300_trend_pullback,BTCUSDT,minute15,1770531300,trend_pullback,LONG,1.0,53.46749402596898,96.56791762847845,,1.413878432077241,0.0,0.003371251949408592,HH_HL (uptrend),0.31041655247222133,0.10227013740838058,0.03535266811636656,24.98210169384848,69252.85784053091,0.10590488502001409,69244.84359124908,0.11749092716731384,69229.62277577759,0.1395027451401854,69190.3697410101,0.1963138215597471,1.0,3.7899079654744128,,0,0.5453844624447204,68.42395421456816,1,hammer,,bull → bull → bull,2.0
BTCUSDT_minute15_1770531300_ema_cross,BTCUSDT,minute15,1770531300,ema_cross,LONG,1.0,53.46749402596898,96.56791762847845,,1.413878432077241,0.0,0.003371251949408592,HH_HL (uptrend),0.31041655247222133,0.10227013740838058,0.03535266811636656,24.98210169384848,69252.85784053091,0.10590488502001409,69244.84359124908,0.11749092716731384,69229.62277577759,0.1395027451401854,69190.3697410101,0.1963138215597471,1.0,3.7899079654744128,,0,0.5453844624447204,68.42395421456816,1,hammer,,bull → bull → bull,2.3333
